# 일본판·영어판 대사 블록 번호와 PC판 한글 대사 파일의 대응 (tools/pc2ds.py 가 사용)
# 블록 번호는 mess.bin 안의 순서. 0~1246 은 일본판과 영어판이 같고, 1247~1256 은 영어판에만 있다.
# 짝은 덩어리 개수·꼬리표·반복 패턴과 종류별 파일 순서로 찾았고, 기타 화면은 내용을 읽고 정했다.
block	file
401	RR1_RT8000_C_ENG
402	RR1_RT8000_D_ENG
403	RR1_RT8100_A_ENG
404	RR1_RT8100_B_ENG
405	RR1_RT8100_C_ENG
406	RR1_RT8100_D_ENG
407	RR1_RT8200_B_ENG
408	RR1_RT8200_C_ENG
409	RR1_RT8200_D_ENG
410	RR1_RT8300_C_ENG
411	RR1_RT8300_D_ENG
412	RR1_RT8400_C_ENG
413	RR1_RT8400_D_ENG
414	RR1_RT8500_D_ENG
417	RR1_RT8C00_A_ENG
418	RR1_RT8C00_B_ENG
419	RR1_RT8C00_C_ENG
420	RR1_RT8C00_D_ENG
421	RR1_RT8D00_A_ENG
422	RR1_RT8D00_B_ENG
423	RR1_RT8D00_C_ENG
424	RR1_RT8D00_D_ENG
425	RR1_RT8E00_A_ENG
426	RR1_RT8E00_B_ENG
427	RR1_RT8E00_C_ENG
428	RR1_RT8E00_D_ENG
429	RR1_RT9000_A_ENG
430	RR1_RT9000_B_ENG
431	RR1_RT9000_C_ENG
432	RR1_RT9000_D_ENG
433	RR1_RT9100_A_ENG
434	RR1_RT9100_B_ENG
435	RR1_RT9100_C_ENG
436	RR1_RT9100_D_ENG
437	RR1_RT9200_B_ENG
438	RR1_RT9200_C_ENG
439	RR1_RT9200_D_ENG
440	RR1_RT9300_C_ENG
441	RR1_RT9300_D_ENG
442	RR1_RT9400_C_ENG
443	RR1_RT9400_D_ENG
445	RR1_RT9500_D_ENG
448	RR1_ST0000_A_ENG
449	RR1_ST0000_B_ENG
450	RR1_ST0000_C_ENG
451	RR1_ST0000_D_ENG
452	RR1_ST0000_X_ENG
453	RR1_ST0000_Z_ENG
454	RR1_ST0001_A_ENG
455	RR1_ST0001_B_ENG
456	RR1_ST0001_C_ENG
457	RR1_ST0001_D_ENG
458	RR1_ST0001_X_ENG
459	RR1_ST0001_Z_ENG
460	RR1_ST0002_A_ENG
461	RR1_ST0002_B_ENG
462	RR1_ST0002_C_ENG
465	RR1_ST0002_Z_ENG
468	RR1_ST0003_C_ENG
471	RR1_ST0003_Z_ENG
473	RR1_ST0004_B_ENG
474	RR1_ST0004_C_ENG
477	RR1_ST0004_Z_ENG
479	RR1_ST0005_B_ENG
480	RR1_ST0005_C_ENG
483	RR1_ST0005_Z_ENG
486	RR1_ST0006_C_ENG
487	RR1_ST0006_D_ENG
488	RR1_ST0006_X_ENG
489	RR1_ST0006_Z_ENG
490	RR1_ST0007_A_ENG
491	RR1_ST0007_B_ENG
492	RR1_ST0007_C_ENG
493	RR1_ST0007_D_ENG
494	RR1_ST0007_X_ENG
495	RR1_ST0007_Z_ENG
496	RR1_ST0100_A_ENG
497	RR1_ST0100_B_ENG
498	RR1_ST0100_C_ENG
499	RR1_ST0100_D_ENG
500	RR1_ST0100_X_ENG
501	RR1_ST0100_Z_ENG
502	RR1_ST0101_A_ENG
503	RR1_ST0101_B_ENG
504	RR1_ST0101_C_ENG
505	RR1_ST0101_D_ENG
506	RR1_ST0101_X_ENG
507	RR1_ST0101_Z_ENG
508	RR1_ST0102_A_ENG
509	RR1_ST0102_B_ENG
510	RR1_ST0102_C_ENG
511	RR1_ST0102_D_ENG
512	RR1_ST0102_X_ENG
513	RR1_ST0102_Z_ENG
514	RR1_ST0103_A_ENG
515	RR1_ST0103_B_ENG
516	RR1_ST0103_C_ENG
517	RR1_ST0103_D_ENG
518	RR1_ST0103_X_ENG
519	RR1_ST0103_Z_ENG
520	RR1_ST0104_A_ENG
524	RR1_ST0104_X_ENG
525	RR1_ST0104_Z_ENG
526	RR1_ST0200_B_ENG
527	RR1_ST0200_C_ENG
528	RR1_ST0200_D_ENG
529	RR1_ST0200_X_ENG
530	RR1_ST0200_Z_ENG
531	RR1_ST0201_B_ENG
532	RR1_ST0201_C_ENG
533	RR1_ST0201_D_ENG
534	RR1_ST0201_X_ENG
535	RR1_ST0201_Z_ENG
536	RR1_ST0202_B_ENG
537	RR1_ST0202_C_ENG
538	RR1_ST0202_D_ENG
539	RR1_ST0202_X_ENG
540	RR1_ST0202_Z_ENG
541	RR1_ST0203_B_ENG
542	RR1_ST0203_C_ENG
543	RR1_ST0203_D_ENG
544	RR1_ST0203_X_ENG
545	RR1_ST0203_Z_ENG
546	RR1_ST0204_B_ENG
547	RR1_ST0204_C_ENG
548	RR1_ST0204_D_ENG
549	RR1_ST0204_X_ENG
550	RR1_ST0204_Z_ENG
551	RR1_ST0205_B_ENG
552	RR1_ST0205_C_ENG
553	RR1_ST0205_D_ENG
554	RR1_ST0205_X_ENG
555	RR1_ST0205_Z_ENG
556	RR1_ST0206_B_ENG
557	RR1_ST0206_C_ENG
558	RR1_ST0206_D_ENG
559	RR1_ST0206_X_ENG
560	RR1_ST0206_Z_ENG
561	RR1_ST0207_B_ENG
562	RR1_ST0207_C_ENG
563	RR1_ST0207_D_ENG
564	RR1_ST0207_X_ENG
565	RR1_ST0207_Z_ENG
567	RR1_ST0208_C_ENG
568	RR1_ST0208_D_ENG
569	RR1_ST0208_X_ENG
570	RR1_ST0208_Z_ENG
572	RR1_ST0300_C_ENG
573	RR1_ST0300_D_ENG
574	RR1_ST0300_X_ENG
575	RR1_ST0300_Z_ENG
577	RR1_ST0301_C_ENG
578	RR1_ST0301_D_ENG
579	RR1_ST0301_X_ENG
580	RR1_ST0301_Z_ENG
582	RR1_ST0302_C_ENG
583	RR1_ST0302_D_ENG
584	RR1_ST0302_X_ENG
585	RR1_ST0302_Z_ENG
587	RR1_ST0303_C_ENG
588	RR1_ST0303_D_ENG
589	RR1_ST0303_X_ENG
590	RR1_ST0303_Z_ENG
596	RR1_ST0400_C_ENG
597	RR1_ST0400_D_ENG
598	RR1_ST0400_X_ENG
599	RR1_ST0400_Z_ENG
600	RR1_ST0401_C_ENG
601	RR1_ST0401_D_ENG
602	RR1_ST0401_X_ENG
603	RR1_ST0401_Z_ENG
604	RR1_ST0402_C_ENG
605	RR1_ST0402_D_ENG
606	RR1_ST0402_X_ENG
607	RR1_ST0402_Z_ENG
609	RR1_ST0403_D_ENG
610	RR1_ST0403_X_ENG
611	RR1_ST0403_Z_ENG
613	RR1_ST0404_D_ENG
614	RR1_ST0404_X_ENG
615	RR1_ST0404_Z_ENG
616	RR1_ST0500_D_ENG
617	RR1_ST0500_X_ENG
618	RR1_ST0500_Z_ENG
620	RR1_ST0501_X_ENG
621	RR1_ST0501_Z_ENG
623	RR1_ST0502_X_ENG
624	RR1_ST0502_Z_ENG
626	RR1_ST0503_X_ENG
627	RR1_ST0503_Z_ENG
630	RR1_ST0504_Z_ENG
637	RR1_ST8000_A_ENG
642	RR1_ST8000_Z_ENG
643	RR1_ST8001_A_ENG
648	RR1_ST8001_Z_ENG
654	RR1_ST8100_Z_ENG
660	RR1_ST8101_Z_ENG
666	RR1_ST8102_Z_ENG
671	RR1_ST8200_Z_ENG
676	RR1_ST8201_Z_ENG
681	RR1_ST8202_Z_ENG
682	RR1_ST8300_C_ENG
685	RR1_ST8300_Z_ENG
686	RR1_ST8301_C_ENG
688	RR1_ST8301_X_ENG
689	RR1_ST8301_Z_ENG
690	RR1_ST8302_C_ENG
692	RR1_ST8302_X_ENG
693	RR1_ST8302_Z_ENG
694	RR1_ST8400_C_ENG
695	RR1_ST8400_D_ENG
696	RR1_ST8400_X_ENG
697	RR1_ST8400_Z_ENG
698	RR1_ST8401_C_ENG
699	RR1_ST8401_D_ENG
700	RR1_ST8401_X_ENG
701	RR1_ST8401_Z_ENG
702	RR1_ST8402_C_ENG
703	RR1_ST8402_D_ENG
704	RR1_ST8402_X_ENG
705	RR1_ST8402_Z_ENG
708	RR1_ST8500_Z_ENG
711	RR1_ST8501_Z_ENG
714	RR1_ST8502_Z_ENG
717	RR1_ST8503_Z_ENG
737	RR1_ST8C00_X_ENG
743	RR1_ST8C01_X_ENG
745	RR1_ST8C02_A_ENG
749	RR1_ST8C02_X_ENG
750	RR1_ST8C02_Z_ENG
755	RR1_ST8C03_X_ENG
756	RR1_ST8C03_Z_ENG
761	RR1_ST8C04_X_ENG
762	RR1_ST8C04_Z_ENG
763	RR1_ST8C05_A_ENG
767	RR1_ST8C05_X_ENG
773	RR1_ST8C06_X_ENG
779	RR1_ST8C07_X_ENG
785	RR1_ST8C08_X_ENG
791	RR1_ST8C09_X_ENG
797	RR1_ST8C0A_X_ENG
803	RR1_ST8C0B_X_ENG
809	RR1_ST8C0C_X_ENG
815	RR1_ST8C0D_X_ENG
821	RR1_ST8C0E_X_ENG
827	RR1_ST8C0F_X_ENG
828	RR1_ST8C0F_Z_ENG
833	RR1_ST8D00_X_ENG
839	RR1_ST8D01_X_ENG
845	RR1_ST8D02_X_ENG
851	RR1_ST8D03_X_ENG
857	RR1_ST8D04_X_ENG
863	RR1_ST8D05_X_ENG
869	RR1_ST8D06_X_ENG
875	RR1_ST8D07_X_ENG
881	RR1_ST8D08_X_ENG
887	RR1_ST8D09_X_ENG
893	RR1_ST8D0A_X_ENG
899	RR1_ST8D0B_X_ENG
905	RR1_ST8D0C_X_ENG
911	RR1_ST8D0D_X_ENG
917	RR1_ST8D0E_X_ENG
923	RR1_ST8D0F_X_ENG
929	RR1_ST8E00_X_ENG
935	RR1_ST8E01_X_ENG
941	RR1_ST8E02_X_ENG
947	RR1_ST8E03_X_ENG
953	RR1_ST8E04_X_ENG
958	RR1_ST8E05_D_ENG
959	RR1_ST8E05_X_ENG
965	RR1_ST8E06_X_ENG
971	RR1_ST8E07_X_ENG
977	RR1_ST8E08_X_ENG
983	RR1_ST8E09_X_ENG
989	RR1_ST8E0A_X_ENG
995	RR1_ST8E0B_X_ENG
1001	RR1_ST8E0C_X_ENG
1007	RR1_ST8E0D_X_ENG
1013	RR1_ST8E0E_X_ENG
1019	RR1_ST8E0F_X_ENG
1021	RR1_ST9000_A_ENG
1022	RR1_ST9000_B_ENG
1023	RR1_ST9000_C_ENG
1024	RR1_ST9000_D_ENG
1025	RR1_ST9000_X_ENG
1027	RR1_ST9001_A_ENG
1028	RR1_ST9001_B_ENG
1029	RR1_ST9001_C_ENG
1031	RR1_ST9001_X_ENG
1033	RR1_ST9002_A_ENG
1034	RR1_ST9002_B_ENG
1035	RR1_ST9002_C_ENG
1037	RR1_ST9002_X_ENG
1041	RR1_ST9003_C_ENG
1043	RR1_ST9003_X_ENG
1046	RR1_ST9004_B_ENG
1049	RR1_ST9004_X_ENG
1052	RR1_ST9005_B_ENG
1055	RR1_ST9005_X_ENG
1058	RR1_ST9006_B_ENG
1061	RR1_ST9006_X_ENG
1063	RR1_ST9007_A_ENG
1064	RR1_ST9007_B_ENG
1065	RR1_ST9007_C_ENG
1066	RR1_ST9007_D_ENG
1067	RR1_ST9007_X_ENG
1069	RR1_ST9100_A_ENG
1070	RR1_ST9100_B_ENG
1071	RR1_ST9100_C_ENG
1072	RR1_ST9100_D_ENG
1073	RR1_ST9100_X_ENG
1075	RR1_ST9101_A_ENG
1076	RR1_ST9101_B_ENG
1077	RR1_ST9101_C_ENG
1078	RR1_ST9101_D_ENG
1079	RR1_ST9101_X_ENG
1081	RR1_ST9102_A_ENG
1082	RR1_ST9102_B_ENG
1083	RR1_ST9102_C_ENG
1084	RR1_ST9102_D_ENG
1087	RR1_ST9103_A_ENG
1088	RR1_ST9103_B_ENG
1089	RR1_ST9103_C_ENG
1090	RR1_ST9103_D_ENG
1093	RR1_ST9104_A_ENG
1094	RR1_ST9104_B_ENG
1095	RR1_ST9104_C_ENG
1096	RR1_ST9104_D_ENG
1097	RR1_ST9104_X_ENG
1099	RR1_ST9200_B_ENG
1100	RR1_ST9200_C_ENG
1101	RR1_ST9200_D_ENG
1102	RR1_ST9200_X_ENG
1104	RR1_ST9201_B_ENG
1105	RR1_ST9201_C_ENG
1106	RR1_ST9201_D_ENG
